2023-06-24 19:22:11.826 [info] Added views:workbench.panel.markers.view in workbench.panel.markers
2023-06-24 19:22:11.826 [info] Added views:workbench.panel.output in workbench.panel.output
2023-06-24 19:22:11.826 [info] Added views:terminal in terminal
2023-06-24 19:22:11.826 [info] Added views:outline in workbench.view.explorer
2023-06-24 19:22:11.826 [info] Added views:workbench.scm in workbench.view.scm
2023-06-24 19:22:11.826 [info] Added views:workbench.view.search in workbench.view.search
2023-06-24 19:22:11.826 [info] Added views:timeline in workbench.view.explorer
2023-06-24 19:22:11.826 [info] Added views:workbench.explorer.fileView in workbench.view.explorer
2023-06-24 19:22:12.153 [info] Added views:workbench.debug.welcome in workbench.view.debug
2023-06-24 19:22:12.948 [info] Added views:workbench.panel.repl.view in workbench.panel.repl
2023-06-24 20:55:09.877 [info] Added views:workbench.debug.breakPointsView in workbench.view.debug
2023-06-24 20:55:13.935 [info] Removed views:workbench.debug.welcome from workbench.view.debug
2023-06-24 20:55:13.938 [info] Added views:workbench.debug.variablesView,workbench.debug.watchExpressionsView,workbench.debug.callStackView in workbench.view.debug
2023-06-24 20:55:23.655 [info] Removed views:workbench.debug.callStackView,workbench.debug.watchExpressionsView,workbench.debug.variablesView from workbench.view.debug
2023-06-24 20:55:23.659 [info] Added views:workbench.debug.welcome in workbench.view.debug
2023-06-24 20:55:42.156 [info] Removed views:workbench.debug.welcome from workbench.view.debug
2023-06-24 20:55:42.159 [info] Added views:workbench.debug.variablesView,workbench.debug.watchExpressionsView,workbench.debug.callStackView in workbench.view.debug
2023-06-24 20:55:45.060 [info] Removed views:workbench.debug.callStackView,workbench.debug.watchExpressionsView,workbench.debug.variablesView from workbench.view.debug
2023-06-24 20:55:45.064 [info] Added views:workbench.debug.welcome in workbench.view.debug
2023-06-24 20:58:56.707 [info] Removed views:workbench.debug.welcome from workbench.view.debug
2023-06-24 20:58:56.710 [info] Added views:workbench.debug.variablesView,workbench.debug.watchExpressionsView,workbench.debug.callStackView in workbench.view.debug
2023-06-24 20:59:00.175 [info] Removed views:workbench.debug.callStackView,workbench.debug.watchExpressionsView,workbench.debug.variablesView from workbench.view.debug
2023-06-24 20:59:00.177 [info] Added views:workbench.debug.welcome in workbench.view.debug
2023-06-24 21:03:19.508 [info] Removed views:workbench.debug.welcome from workbench.view.debug
2023-06-24 21:03:19.512 [info] Added views:workbench.debug.variablesView,workbench.debug.watchExpressionsView,workbench.debug.callStackView in workbench.view.debug
2023-06-24 21:03:22.675 [info] Removed views:workbench.debug.callStackView,workbench.debug.watchExpressionsView,workbench.debug.variablesView from workbench.view.debug
2023-06-24 21:03:22.678 [info] Added views:workbench.debug.welcome in workbench.view.debug
2023-06-24 21:03:58.075 [info] Removed views:workbench.debug.welcome from workbench.view.debug
2023-06-24 21:03:58.078 [info] Added views:workbench.debug.variablesView,workbench.debug.watchExpressionsView,workbench.debug.callStackView in workbench.view.debug
2023-06-24 21:04:03.634 [info] Removed views:workbench.debug.callStackView,workbench.debug.watchExpressionsView,workbench.debug.variablesView from workbench.view.debug
2023-06-24 21:04:03.635 [info] Added views:workbench.debug.welcome in workbench.view.debug
2023-06-24 21:04:07.536 [info] Removed views:workbench.debug.welcome from workbench.view.debug
2023-06-24 21:04:07.538 [info] Added views:workbench.debug.variablesView,workbench.debug.watchExpressionsView,workbench.debug.callStackView in workbench.view.debug
2023-06-24 21:04:10.026 [info] Removed views:workbench.debug.callStackView,workbench.debug.watchExpressionsView,workbench.debug.variablesView from workbench.view.debug
2023-06-24 21:04:10.028 [info] Added views:workbench.debug.welcome in workbench.view.debug
2023-06-24 21:05:03.310 [info] Removed views:workbench.debug.welcome from workbench.view.debug
2023-06-24 21:05:03.314 [info] Added views:workbench.debug.variablesView,workbench.debug.watchExpressionsView,workbench.debug.callStackView in workbench.view.debug
2023-06-24 21:05:08.473 [info] Removed views:workbench.debug.callStackView,workbench.debug.watchExpressionsView,workbench.debug.variablesView from workbench.view.debug
2023-06-24 21:05:08.475 [info] Added views:workbench.debug.welcome in workbench.view.debug
2023-06-24 21:05:16.168 [info] Removed views:workbench.debug.welcome from workbench.view.debug
2023-06-24 21:05:16.171 [info] Added views:workbench.debug.variablesView,workbench.debug.watchExpressionsView,workbench.debug.callStackView in workbench.view.debug
2023-06-24 21:05:18.870 [info] Removed views:workbench.debug.callStackView,workbench.debug.watchExpressionsView,workbench.debug.variablesView from workbench.view.debug
2023-06-24 21:05:18.873 [info] Added views:workbench.debug.welcome in workbench.view.debug
2023-06-24 21:05:28.957 [info] Removed views:workbench.debug.welcome from workbench.view.debug
2023-06-24 21:05:28.959 [info] Added views:workbench.debug.variablesView,workbench.debug.watchExpressionsView,workbench.debug.callStackView in workbench.view.debug
2023-06-24 21:05:41.608 [info] Removed views:workbench.debug.callStackView,workbench.debug.watchExpressionsView,workbench.debug.variablesView from workbench.view.debug
2023-06-24 21:05:41.610 [info] Added views:workbench.debug.welcome in workbench.view.debug
2023-06-24 21:06:21.597 [info] Removed views:workbench.debug.welcome from workbench.view.debug
2023-06-24 21:06:21.599 [info] Added views:workbench.debug.variablesView,workbench.debug.watchExpressionsView,workbench.debug.callStackView in workbench.view.debug
2023-06-24 21:06:25.195 [info] Removed views:workbench.debug.callStackView,workbench.debug.watchExpressionsView,workbench.debug.variablesView from workbench.view.debug
2023-06-24 21:06:25.197 [info] Added views:workbench.debug.welcome in workbench.view.debug
